,HKLDAV_mean,HKLDAV_std,HKLDAV_skew,HKLDAV_max,HKLDAV_median,HKLDAV_min,HKLDAV_energy,HKLDAV_entropy,HKLDAV_zcr_mean,HKLDAV_zcr_std,HKLDAV_zcr_skew,HKLDAV_zcr_max,HKLDAV_zcr_median,HKLDAV_zcr_min,HKLDAV_spec_roll_off_mean,HKLDAV_spec_roll_off_std,HKLDAV_spec_roll_off_skew,HKLDAV_spec_roll_off_max,HKLDAV_spec_roll_off_median,HKLDAV_spec_roll_off_min,HKLDAV_spec_centroid_mean,HKLDAV_spec_centroid_std,HKLDAV_spec_centroid_skew,HKLDAV_spec_centroid_max,HKLDAV_spec_centroid_median,HKLDAV_spec_centroid_min,HKLDAV_spec_contrast_mean,HKLDAV_spec_contrast_std,HKLDAV_spec_contrast_skew,HKLDAV_spec_contrast_max,HKLDAV_spec_contrast_median,HKLDAV_spec_contrast_min,HKLDAV_spec_bandwidth_mean,HKLDAV_spec_bandwidth_std,HKLDAV_spec_bandwidth_skew,HKLDAV_spec_bandwidth_max,HKLDAV_spec_bandwidth_median,HKLDAV_spec_bandwidth_min
15,1357.9854410396827,107.97309853324624,-2.810153633469187,1659.34,1382.15,943.66,1855782.6480826112,-26807417167.190582,0.0,0.0,,0.0,0.0,0.0,2341.73583984375,834.41162109375,0.0,3176.1474609375,2341.73583984375,1507.32421875,1093.1734980794447,219.300161708906,0.0,1312.4736597883507,1093.1734980794447,873.8733363705387,16.881437638647196,2.5678803676598854,0.0,19.44931800630708,16.881437638647196,14.31355727098731,2281.558033131969,182.2942841298029,3.766578820082377e-15,2463.852317261772,2281.558033131969,2463.852317261772
16,1398.385924246032,122.30826228291612,-2.7429405846846286,1626.43,1413.5783333333334,933.31,1970442.504152095,-28586367080.231796,0.0,0.0,,0.0,0.0,0.0,2013.3544921875,376.8310546875,0.0,2390.185546875,2013.3544921875,1636.5234375,1007.7740188915984,108.13099071029114,0.0,1115.9050096018896,1007.7740188915984,899.6430281813073,19.411611195446017,0.46493816354208306,0.0,19.8765493589881,19.411611195446017,18.946673031903934,2224.6060373208034,98.13793409356776,0.0,2322.743971414371,2224.6060373208034,2322.743971414371
17,1361.2537196785715,172.14128218760695,-1.72573623961586,1646.74,1407.4633333333334,933.134,1882644.31037194,-27255092872.69477,0.0,0.0,,0.0,0.0,0.0,2530.1513671875,656.7626953125,0.0,3186.9140625,2530.1513671875,1873.388671875,1146.4621779381011,174.39510180428238,0.0,1320.8572797423835,1146.4621779381011,972.0670761338188,16.32551102869324,1.8757241412772352,0.0,18.201235169970474,16.32551102869324,14.449786887416003,2311.33913156101,153.5428417533326,0.0,2464.8819733143428,2311.33913156101,2464.8819733143428
18,1388.1379201785712,21.805886928797936,-0.40402928053593495,1423.79,1389.7825,1342.69,1927402.3821424416,-27893706587.991783,0.0,0.0,,0.0,0.0,0.0,2530.1513671875,645.99609375,0.0,3176.1474609375,2530.1513671875,1884.1552734375,1138.7427322389185,175.98805470312038,-1.9649359478817127e-15,1314.7307869420388,1138.7427322389185,962.754677535798,16.276863792187086,1.9873521923012731,0.0,18.26421598448836,16.276863792187086,14.289511599885813,2324.3723143655297,138.63106126820708,4.893803441046908e-15,2463.003375633737,2324.3723143655297,2463.003375633737
19,1364.1680916726189,169.29173332831843,-1.8024431627097055,1644.53,1418.09,932.33,1889614.2733110215,-27360904370.063026,0.0,0.0,,0.0,0.0,0.0,2578.60107421875,672.91259765625,0.0,3251.513671875,2578.60107421875,1905.6884765625,1170.002972150443,203.4382305476807,-8.848963579876793e-16,1373.4412026981236,1170.002972150443,966.5647416027622,17.66282566940262,2.435774761324428,0.0,20.098600430727046,17.66282566940262,15.22705090807819,2315.0538164342565,158.94446904941242,0.0,2473.998285483669,2315.0538164342565,2473.998285483669
20,1306.2094448095238,207.78502770986464,-0.9247511908068516,1660.38,1396.797,933.18,1749357.7314499936,-25227712804.06066,0.0,0.0,,0.0,0.0,0.0,2600.13427734375,554.47998046875,0.0,3154.6142578125,2600.13427734375,2045.654296875,1163.0044661239651,145.0126687596283,-1.2216373036279289e-15,1308.0171348835934,1163.0044661239651,1017.9917973643368,17.700301961311116,3.002990933063149,0.0,20.703292894374265,17.700301961311116,14.697311028247967,2339.2468390364165,120.57161882283981,0.0,2459.8184578592563,2339.2468390364165,2459.8184578592563
21,1428.5959755674603,33.00582127483742,1.7156249996198873,1520.4800000000002,1417.63,1386.3499999999997,2041975.84564557,-29670948728.162395,0.0,0.0,,0.0,0.0,0.0,2540.91796875,678.2958984375,0.0,3219.2138671875,2540.91796875,1862.6220703125,1142.0840505450567,184.44399786612667,0.0,1326.5280484111834,1142.0840505450567,957.64005267893,16.14814116151858,1.8277831392074546,0.0,17.975924300726035,16.14814116151858,14.320358022311126,2325.607555266477,146.42238927950143,4.598427677489883e-15,2472.0299445459787,2325.607555266477,2472.0299445459787
22,1310.2899353690475,210.02570514826672,-0.903434183606883,1669.02,1400.85,931.55,1760970.5115524498,-25408111890.40718,0.0,0.0,,0.0,0.0,0.0,2670.1171875,559.86328125,0.0,3229.98046875,2670.1171875,2110.25390625,1183.6140924729882,149.92424643363756,0.0,1333.5383389066258,1183.6140924729882,1033.6898460393506,17.972871404404277,2.6226290592275525,0.0,20.59550046363183,17.972871404404277,15.350242345176724,2349.5117063375546,124.04488139201953,-5.4892891500829786e-15,2473.556587729574,2349.5117063375546,2473.556587729574
23,1395.7475297738094,13.62062027484529,0.789142609074912,1424.89,1389.75,1373.68,1948296.6881663627,-28216512631.68671,0.0,0.0,,0.0,0.0,0.0,2514.00146484375,672.91259765625,0.0,3186.9140625,2514.00146484375,1841.0888671875,1134.3155942575859,181.9389686756753,1.005162553630858e-15,1316.2545629332612,1134.3155942575859,952.3766255819106,16.16707665980866,1.8917102298353292,0.0,18.05878688964399,16.16707665980866,14.275366429973332,2319.8331977550415,145.39383936779382,4.620957336250959e-15,2465.2270371228356,2319.8331977550415,2465.2270371228356
24,1385.3820859642858,195.35602232942077,-1.4768537997456233,1655.81,1435.58,934.4733333333334,1957447.4995711285,-28427946446.847813,0.0,0.0,,0.0,0.0,0.0,2454.78515625,656.7626953125,0.0,3111.5478515625,2454.78515625,1798.0224609375,1135.5636897407496,167.3703725333997,-9.931946833181626e-16,1302.9340622741493,1135.5636897407496,968.1933172073499,17.202426189460724,2.4269178020433415,0.0,19.629343991504065,17.202426189460724,14.775508387417382,2305.6384666558683,142.62226630982332,0.0,2448.2607329656917,2305.6384666558683,2448.2607329656917
